file_name,sample_start,sample_end,timestamp_start,timestamp_end,scream_type,video_id
4600fGWcn9o.wav,1579017,1999183,35.81,45.33,midfry,4600fGWcn9o
4600fGWcn9o.wav,2020012,2152867,45.81,48.82,midfry,4600fGWcn9o
4600fGWcn9o.wav,2161887,2486176,49.02,56.38,midfry,4600fGWcn9o
4600fGWcn9o.wav,2488192,2795520,56.42,63.39,clean,4600fGWcn9o
4600fGWcn9o.wav,2797600,3030794,63.44,68.73,midfry,4600fGWcn9o
4600fGWcn9o.wav,3038213,3084672,68.89,69.95,midfry,4600fGWcn9o
4600fGWcn9o.wav,3086592,3142852,69.99,71.27,midfry,4600fGWcn9o
4600fGWcn9o.wav,3156480,3217717,71.58,72.96,midfry,4600fGWcn9o
4600fGWcn9o.wav,3230384,3363072,73.25,76.26,midfry,4600fGWcn9o
4600fGWcn9o.wav,3376896,3496994,76.57,79.3,midfry,4600fGWcn9o
4600fGWcn9o.wav,3518047,3637451,79.77,82.48,midfry,4600fGWcn9o
4600fGWcn9o.wav,3661895,3727691,83.04,84.53,midfry,4600fGWcn9o
4600fGWcn9o.wav,3742966,3873408,84.87,87.83,midfry,4600fGWcn9o
4600fGWcn9o.wav,3886464,3926274,88.13,89.03,midfry,4600fGWcn9o
4600fGWcn9o.wav,3940992,4080768,89.36,92.53,midfry,4600fGWcn9o
4600fGWcn9o.wav,4087040,4400064,92.68,99.77,clean,4600fGWcn9o
4600fGWcn9o.wav,4408128,4662784,99.96,105.73,midfry,4600fGWcn9o
4600fGWcn9o.wav,4668416,4985208,105.86,113.04,clean,4600fGWcn9o
4600fGWcn9o.wav,4995694,5245058,113.28,118.94,midfry,4600fGWcn9o
4600fGWcn9o.wav,6073994,6411733,137.73,145.39,midfry,4600fGWcn9o
4600fGWcn9o.wav,6434499,6850057,145.91,155.33,midfry,4600fGWcn9o
4600fGWcn9o.wav,6882233,6997760,156.06,158.68,midfry,4600fGWcn9o
4600fGWcn9o.wav,7008320,7175040,158.92,162.7,midfry,4600fGWcn9o
4600fGWcn9o.wav,7175552,7201440,162.71,163.3,midfry,4600fGWcn9o
4600fGWcn9o.wav,7202448,7402970,163.32,167.87,midfry,4600fGWcn9o
4600fGWcn9o.wav,7828361,8357611,177.51,189.51,midfry,4600fGWcn9o
4600fGWcn9o.wav,8366604,9157737,189.72,207.66,clean,4600fGWcn9o
4600fGWcn9o.wav,9168065,9291499,207.89,210.69,midfry,4600fGWcn9o
4600fGWcn9o.wav,9323643,9801600,211.42,222.26,clean,4600fGWcn9o
4600fGWcn9o.wav,9822720,10177410,222.74,230.78,midfry,4600fGWcn9o
4600fGWcn9o.wav,10303304,10427522,233.64,236.45,midfry,4600fGWcn9o
4600fGWcn9o.wav,10799656,11044160,244.89,250.43,clean,4600fGWcn9o
4600fGWcn9o.wav,11048960,11278464,250.54,255.75,midfry,4600fGWcn9o
4600fGWcn9o.wav,11281644,11582592,255.82,262.64,clean,4600fGWcn9o
4600fGWcn9o.wav,11587968,11758061,262.77,266.62,midfry,4600fGWcn9o
4600fGWcn9o.wav,11864269,12214479,269.03,276.97,clean,4600fGWcn9o
4600fGWcn9o.wav,12229217,12491989,277.31,283.27,clean,4600fGWcn9o
4600fGWcn9o.wav,12521257,12863883,283.93,291.7,clean,4600fGWcn9o
4600fGWcn9o.wav,12885332,13052683,292.18,295.98,clean,4600fGWcn9o
4600fGWcn9o.wav,13058695,13208576,296.12,299.51,midfry,4600fGWcn9o
4600fGWcn9o.wav,13244416,13529088,300.33,306.78,midfry,4600fGWcn9o
4600fGWcn9o.wav,13559409,13876676,307.47,314.66,midfry,4600fGWcn9o
4600fGWcn9o.wav,13901960,14561254,315.24,330.19,midfry,4600fGWcn9o
GLu-E42-RmA.wav,757248,896116,17.17,20.32,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,915664,1043940,20.76,23.67,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,1069336,1205669,24.25,27.34,highfry,GLu-E42-RmA
GLu-E42-RmA.wav,1242112,1338682,28.17,30.36,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,1352629,1967616,30.67,44.62,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,1975680,2618776,44.8,59.38,clean,GLu-E42-RmA
GLu-E42-RmA.wav,2625161,2915670,59.53,66.11,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,2919616,3235008,66.2,73.36,clean,GLu-E42-RmA
GLu-E42-RmA.wav,3331857,3614640,75.55,81.96,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,3623074,3950699,82.16,89.59,highfry,GLu-E42-RmA
GLu-E42-RmA.wav,4002671,4608549,90.76,104.5,clean,GLu-E42-RmA
GLu-E42-RmA.wav,4638982,4920184,105.19,111.57,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,4949326,5225491,112.23,118.49,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,5306521,5930400,120.33,134.48,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,5931296,6559132,134.5,148.73,clean,GLu-E42-RmA
GLu-E42-RmA.wav,6577248,6847727,149.14,155.28,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,6860032,7168269,155.56,162.55,clean,GLu-E42-RmA
GLu-E42-RmA.wav,7555298,7850363,171.32,178.01,midfry,GLu-E42-RmA
GLu-E42-RmA.wav,8068304,8138034,182.95,184.54,midfry,GLu-E42-RmA
ebSxxr726_8.wav,3804481,4195611,86.27,95.14,highfry,ebSxxr726_8
ebSxxr726_8.wav,5074966,6188578,115.08,140.33,highfry,ebSxxr726_8
ebSxxr726_8.wav,6203326,6343796,140.66,143.85,highfry,ebSxxr726_8
ebSxxr726_8.wav,6350784,8944944,144.01,202.83,clean,ebSxxr726_8
ebSxxr726_8.wav,10796160,10848096,244.81,245.99,lowfry,ebSxxr726_8
ebSxxr726_8.wav,10850112,10898496,246.03,247.13,highfry,ebSxxr726_8
ebSxxr726_8.wav,10930464,11007360,247.86,249.6,highfry,ebSxxr726_8
ebSxxr726_8.wav,11009952,11073616,249.66,251.1,lowfry,ebSxxr726_8
ebSxxr726_8.wav,11102688,11179584,251.76,253.51,highfry,ebSxxr726_8
ebSxxr726_8.wav,11233660,11350656,254.73,257.38,highfry,ebSxxr726_8
ebSxxr726_8.wav,11355560,11479607,257.5,260.31,clean,ebSxxr726_8
ebSxxr726_8.wav,12742646,12784600,288.95,289.9,midfry,ebSxxr726_8
ebSxxr726_8.wav,14350636,14464800,325.41,328.0,clean,ebSxxr726_8
ebSxxr726_8.wav,14466144,15080576,328.03,341.96,layered,ebSxxr726_8
ebSxxr726_8.wav,15083264,16573780,342.02,375.82,clean,ebSxxr726_8
ebSxxr726_8.wav,17861151,20514569,405.01,465.18,clean,ebSxxr726_8
ebSxxr726_8.wav,20623831,20897261,467.66,473.86,highfry,ebSxxr726_8
ebSxxr726_8.wav,21037743,21111835,477.05,478.73,clean,ebSxxr726_8
ebSxxr726_8.wav,21171200,21414912,480.07,485.6,clean,ebSxxr726_8
ebSxxr726_8.wav,21466112,21716352,486.76,492.43,clean,ebSxxr726_8
ebSxxr726_8.wav,21725568,22217856,492.64,503.81,highfry,ebSxxr726_8
ebSxxr726_8.wav,22228224,22344440,504.04,506.68,clean,ebSxxr726_8
ebSxxr726_8.wav,22345792,22588616,506.71,512.21,highfry,ebSxxr726_8
ebSxxr726_8.wav,22613010,22718444,512.77,515.16,highfry,ebSxxr726_8
ebSxxr726_8.wav,22742898,22864000,515.71,518.46,highfry,ebSxxr726_8
ebSxxr726_8.wav,22865136,22973978,518.48,520.95,clean,ebSxxr726_8
iVvXB-Vwnco.wav,1667682,1775687,37.82,40.27,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,1827657,2083022,41.44,47.23,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,2106021,2224892,47.76,50.45,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,2245551,2393949,50.92,54.28,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,2403439,2548269,54.5,57.78,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,2558721,2861227,58.02,64.88,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,2923380,3110851,66.29,70.54,clean,iVvXB-Vwnco
iVvXB-Vwnco.wav,3161964,3590641,71.7,81.42,clean,iVvXB-Vwnco
iVvXB-Vwnco.wav,3641493,3956815,82.57,89.72,clean,iVvXB-Vwnco
iVvXB-Vwnco.wav,4313006,4572104,97.8,103.68,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,4611189,4864167,104.56,110.3,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,5035183,5078651,114.18,115.16,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,5123999,5221322,116.19,118.4,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,5286335,5467493,119.87,123.98,midfry,iVvXB-Vwnco
iVvXB-Vwnco.wav,7454895,7652793,169.05,173.53,clean,iVvXB-Vwnco
iVvXB-Vwnco.wav,7696330,8137272,174.52,184.52,clean,iVvXB-Vwnco
iVvXB-Vwnco.wav,8181189,8498224,185.51,192.7,clean,iVvXB-Vwnco
F3A_3c882us.wav,63200,141056,1.32,2.94,lowfry,F3A_3c882us
F3A_3c882us.wav,149248,376320,3.11,7.84,highfry,F3A_3c882us
F3A_3c882us.wav,403200,573408,8.4,11.95,highfry,F3A_3c882us
F3A_3c882us.wav,574416,737920,11.97,15.37,lowfry,F3A_3c882us
F3A_3c882us.wav,744640,864000,15.51,18.0,highfry,F3A_3c882us
F3A_3c882us.wav,864576,1081856,18.01,22.54,lowfry,F3A_3c882us
F3A_3c882us.wav,1086464,1205914,22.63,25.12,highfry,F3A_3c882us
F3A_3c882us.wav,1207136,1936512,25.15,40.34,layered,F3A_3c882us
F3A_3c882us.wav,2623840,2788704,54.66,58.1,lowfry,F3A_3c882us
F3A_3c882us.wav,2792448,2910080,58.18,60.63,highfry,F3A_3c882us
F3A_3c882us.wav,2910880,3129408,60.64,65.2,lowfry,F3A_3c882us
F3A_3c882us.wav,3134208,3250464,65.3,67.72,highfry,F3A_3c882us
F3A_3c882us.wav,3251920,3306960,67.75,68.9,lowfry,F3A_3c882us
F3A_3c882us.wav,3987456,4692502,83.07,97.76,lowfry,F3A_3c882us
F3A_3c882us.wav,5355449,5436724,111.57,113.27,lowfry,F3A_3c882us
F3A_3c882us.wav,5438720,5669553,113.31,118.12,highfry,F3A_3c882us
F3A_3c882us.wav,5692928,5886752,118.6,122.64,highfry,F3A_3c882us
F3A_3c882us.wav,6526537,7254823,135.97,151.14,lowfry,F3A_3c882us
F3A_3c882us.wav,7418671,7464718,154.56,155.51,lowfry,F3A_3c882us
F3A_3c882us.wav,7586816,8056855,158.06,167.85,lowfry,F3A_3c882us
1gpfzCxiQ-A.wav,1382400,1569600,31.35,35.59,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,1633600,1792960,37.04,40.66,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,1828160,2022080,41.45,45.85,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,2048640,2245120,46.45,50.91,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,2717440,2911040,61.62,66.01,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,2948800,3126080,66.87,70.89,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,3164800,3339840,71.76,75.73,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,3353280,3562240,76.04,80.78,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,3577280,3695680,81.12,83.8,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,3805440,3909120,86.29,88.64,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,4023040,4141440,91.23,93.91,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,4247360,4348480,96.31,98.6,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,4959360,5127180,112.46,116.26,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,5157660,5223680,116.95,118.45,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,5242240,5361042,118.87,121.57,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,6269760,6463188,142.17,146.56,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,6493120,6560640,147.24,148.77,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,6576000,6650560,149.12,150.81,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,6657280,6697439,150.96,151.87,highfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,6741520,6789760,152.87,153.96,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,6800000,6869280,154.2,155.77,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,6875200,6906246,155.9,156.6,highfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,6935397,7011837,157.27,159.0,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,7034196,7096704,159.51,160.92,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,7099520,7131699,160.99,161.72,highfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,7620564,7730996,172.8,175.31,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,7835041,7915200,177.67,179.48,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,7919520,7950554,179.58,180.28,highfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,8059699,8180923,182.76,185.51,midfry,1gpfzCxiQ-A
1gpfzCxiQ-A.wav,8281258,8388456,187.78,190.21,midfry,1gpfzCxiQ-A
B3F10hXdmQY.wav,1823616,1903382,41.35,43.16,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,2543386,2590286,57.67,58.74,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,2603910,2758305,59.05,62.55,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,2845295,3064090,64.52,69.48,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,3142938,3357540,71.27,76.13,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,3447796,3660480,78.18,83.0,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,3750912,4142400,85.05,93.93,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,4145600,4195520,94.0,95.14,highfry,B3F10hXdmQY
B3F10hXdmQY.wav,4221120,4336000,95.72,98.32,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,4340160,4394880,98.42,99.66,highfry,B3F10hXdmQY
B3F10hXdmQY.wav,4413120,4732160,100.07,107.31,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,4835200,5027840,109.64,114.01,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,5133440,5330560,116.4,120.87,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,5436800,5485440,123.28,124.39,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,5494080,5650240,124.58,128.12,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,5734720,5798080,130.04,131.48,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,5813120,5991040,131.82,135.85,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,6008640,6125568,136.25,138.9,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,6130560,6183072,139.01,140.21,highfry,B3F10hXdmQY
B3F10hXdmQY.wav,6205472,6319712,140.71,143.3,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,6325536,6379296,143.44,144.66,highfry,B3F10hXdmQY
B3F10hXdmQY.wav,6398560,6515936,145.09,147.75,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,6760768,6773760,153.31,153.6,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,7088704,7215712,160.74,163.62,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,7538944,7596480,170.95,172.26,highfry,B3F10hXdmQY
B3F10hXdmQY.wav,7598976,7668640,172.31,173.89,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,7738752,7867776,175.48,178.41,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,7945504,8314513,180.17,188.54,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,8909152,8949696,202.02,202.94,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,8954624,8994048,203.05,203.95,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,8999872,9068864,204.08,205.64,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,9104928,9336544,206.46,211.71,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,9676800,9830688,219.43,222.92,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,9870784,10056256,223.83,228.03,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,10288992,10347552,233.31,234.64,highfry,B3F10hXdmQY
B3F10hXdmQY.wav,10349184,10417120,234.68,236.22,midfry,B3F10hXdmQY
B3F10hXdmQY.wav,10738336,10824800,243.5,245.46,midfry,B3F10hXdmQY
09KScSe4hIc.wav,1686361,1794359,38.24,40.69,midfry,09KScSe4hIc
09KScSe4hIc.wav,1810323,1919808,41.05,43.53,midfry,09KScSe4hIc
09KScSe4hIc.wav,1961539,2073829,44.48,47.03,midfry,09KScSe4hIc
09KScSe4hIc.wav,2090602,2249290,47.41,51.0,midfry,09KScSe4hIc
